MODULE_NAME,MODULE_OID,MODULE_IRI,ASSIGNMENT_NAME,ASSIGNMENT_TYPE,PARAMETERS_COUNT,TYPE_TYPE,TYPE_NAME,VALUE_TYPE,INFO_OBJECT_CLASS,ASSIGNMENT_INDEX,DEPENDENCY_INDEX,START_OFFSET,END_OFFSET,START_LINE,START_COLUMN,FILE_PATH
InformationFramework,2.5.1.1.8,,child,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,5913,5993,178,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,ATTRIBUTE,ObjectClassAssignment,0,,,,,,,6048,7562,184,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,AttributeUsage,TypeAssignment,0,EnumeratedType,,,,,,7564,7715,218,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,objectClass,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,7732,7973,227,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,aliasedEntryName,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,7975,8263,234,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,MATCHING-RULE,ObjectClassAssignment,0,,,,,,,8322,9001,244,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,objectIdentifierMatch,ObjectAssignment,0,,,,InformationFramework.MATCHING-RULE,,,9022,9205,263,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,distinguishedNameMatch,ObjectAssignment,0,,,,InformationFramework.MATCHING-RULE,,,9207,9392,269,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,MAPPING-BASED-MATCHING,ObjectClassAssignment,4,,,,,,,9452,10338,278,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,NAME-FORM,ObjectClassAssignment,0,,,,,,,10393,10943,303,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,DITStructureRule,TypeAssignment,0,SequenceType,,,,,,11004,11268,320,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,RuleIdentifier,TypeAssignment,0,IntegerType,,,,,,11270,11296,327,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,STRUCTURE-RULE,ObjectClassAssignment,0,,,,,,,11298,11592,329,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,DITContentRule,TypeAssignment,0,SequenceType,,,,,,11648,12045,340,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,CONTENT-RULE,ObjectClassAssignment,0,,,,,,,12047,12542,348,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,CONTEXT,ObjectClassAssignment,0,,,,,,,12544,12876,361,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,DITContextUse,TypeAssignment,0,SequenceType,,,,,,12878,13093,374,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,DIT-CONTEXT-USE-RULE,ObjectClassAssignment,0,,,,,,,13095,13371,380,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,FRIENDS,ObjectClassAssignment,0,,,,,,,13373,13507,389,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,SYNTAX-NAME,ObjectClassAssignment,0,,,,,,,13509,13774,396,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,subentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,13833,14058,409,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,subentryNameForm,ObjectAssignment,0,,,,InformationFramework.NAME-FORM,,,14060,14196,417,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,subtreeSpecification,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,14198,14474,422,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,administrativeRole,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,14476,14782,429,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,createTimestamp,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,14784,15271,437,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,modifyTimestamp,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,15273,15760,449,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,subschemaTimestamp,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,15762,16163,461,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,creatorsName,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,16165,16516,471,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,modifiersName,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,16518,16872,481,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,subschemaSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,16874,17248,491,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,accessControlSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,17250,17520,501,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,collectiveAttributeSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,17522,17804,508,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,contextDefaultSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,17806,18078,515,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,serviceAdminSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,18080,18348,522,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdAdminSubentryList,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,18350,18728,529,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,hasSubordinates,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,18730,18991,539,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,accessControlSubentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,18993,19105,547,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,collectiveAttributeSubentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,19107,19231,551,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,collectiveExclusions,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,19233,19461,555,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,contextAssertionSubentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,19463,19624,561,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,contextAssertionDefaults,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,19626,19881,566,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,serviceAdminSubentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,19883,20023,572,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,searchRules,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,20025,20244,577,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,SearchRuleDescription,TypeAssignment,0,SequenceType,,,,,,20246,20456,583,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdAdminSubentry,ObjectAssignment,0,,,,InformationFramework.OBJECT-CLASS,,,20458,20634,589,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdAttribute,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,20636,20907,595,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdHistory,ObjectAssignment,3,,,,InformationFramework.ATTRIBUTE,,,20909,21182,603,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,PwdHistory,TypeAssignment,1,SequenceType,,,,,,21184,21313,610,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdRecentlyExpired,ObjectAssignment,2,,,,InformationFramework.ATTRIBUTE,,,21315,21615,615,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,pwdHistoryMatch,ObjectAssignment,2,,,,InformationFramework.MATCHING-RULE,,,21617,21756,622,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,hierarchyLevel,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,21759,22072,628,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,HierarchyLevel,TypeAssignment,0,IntegerType,,,,,,22074,22100,637,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,hierarchyBelow,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,22102,22368,639,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,HierarchyBelow,TypeAssignment,0,BooleanType,,,,,,22370,22396,647,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,hierarchyParent,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,22398,22648,649,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,hierarchyTop,ObjectAssignment,0,,,,InformationFramework.ATTRIBUTE,,,22650,22894,656,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oc-top,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,22949,23019,667,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oc-alias,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23020,23090,668,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oc-parent,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23091,23162,669,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oc-child,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23163,23234,670,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-at-objectClass,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23251,23321,674,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-at-aliasedEntryName,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23322,23392,675,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-at-pwdAttribute,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23393,23464,676,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-mr-objectIdentifierMatch,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23485,23555,680,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-mr-distinguishedNameMatch,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23556,23626,681,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-excludeAllCollectiveAttributes,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23655,23725,685,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-createTimestamp,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23726,23796,686,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-modifyTimestamp,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23797,23867,687,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-creatorsName,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23868,23938,688,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-modifiersName,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,23939,24009,689,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-administrativeRole,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24010,24080,690,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-subtreeSpecification,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24081,24151,691,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-collectiveExclusions,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24152,24222,692,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-subschemaTimestamp,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24223,24293,693,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-hasSubordinates,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24294,24364,694,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-subschemaSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24365,24436,695,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-accessControlSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24437,24508,696,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-collectiveAttributeSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24509,24580,697,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-contextDefaultSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24581,24652,698,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-contextAssertionDefault,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24653,24724,699,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-serviceAdminSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24725,24796,700,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-searchRules,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24797,24868,701,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-hierarchyLevel,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24869,24940,702,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-hierarchyBelow,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,24941,25012,703,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-hierarchyParent,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,25013,25084,704,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-hierarchyTop,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,25085,25156,705,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-pwdAdminSubentryList,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,25157,25228,706,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-oa-allAttributeTypes,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27413,27484,733,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-subentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27507,27577,737,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-accessControlSubentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27578,27648,738,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-collectiveAttributeSubentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27649,27719,739,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-contextAssertionSubentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27720,27790,740,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-serviceAdminSubentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27791,27861,741,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-sc-pwdAdminSubentry,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27862,27932,742,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-nf-subentryNameForm,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,27950,28021,746,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-autonomousArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28048,28118,750,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-accessControlSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28119,28189,751,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-accessControlInnerArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28190,28260,752,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-subschemaAdminSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28261,28331,753,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-collectiveAttributeSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28332,28402,754,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-collectiveAttributeInnerArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28403,28473,755,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-contextDefaultSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28474,28544,756,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-serviceSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28545,28615,757,1,testroot/InformationFramework.asn1
InformationFramework,2.5.1.1.8,,id-ar-pwdAdminSpecificArea,ValueAssignment,0,ObjectIdentifierType,,ObjectIdentifierValue,,,,28616,28686,758,1,testroot/InformationFramework.asn1
